station_id,longitude,latitude,station_de,elevation
TS001,-81.66653,37.27538,DRY FK  CR-9 off Rt 16  400 ft above Andys Wrecker @ gas well,1287
TS002,-81.65005,37.28957,JACOB FORK 400' upstream of Big Creek Branch,1356
TS003,-81.65156,37.29078,BIG CK Rt. 16 below CR-9 first long hollow on left,1977
TS004,-81.47858,37.33119,TUG FK/SOUTH FK/ 1.2 miles off 103 on 161 South  200 ft upstream of golf corse,1552
TS005,-81.47741,37.33602,BIG SANDY RIVER/TUG FK 0.4 miles up 161 N from 103  right hand turn to metal bridge,1523
TS006,-81.806833,37.343861,MIDDLE FK CK 0.2 miles south of Bradshaw Rt 83 Metal Bridge,1338
TS007,-81.24539,37.35539,BLUESTONE RIVER R7 in above 1st one lane bridge 3rd house on right,2298
TS008,-81.231389,37.377833,WIDE MOUTH CK off Rt 71 on Browning School Rd 200 ft above green bridge,2276
TS009,-81.78446,37.40208,DRY FK Rt 80  150 below Garwood Metal Bridge,1345
TS010,-81.44033,37.42038,ELKHORN CK off US52W @ Northfork City Limit @ RR Track,1583
TS011,-81.59013,37.41945,,1276
TS012,-80.66515,38.32804,BEAVER CK 41 north CR-8,2264
TS013,-81.13495,37.44137,RICH CK RD in Spanishburg to Lusk Hollow Rd,2138
TS014,-81.73688,37.450333,CLEAR FK off US 52 @ crossing,1287
TS015,-81.891,37.46385,PANTHER CK Downstream of Panther State Forest entrance on CR-3-3,1345
TS016,-81.50625,37.55224,PENNICALE CK 16 South up Pennicale CK Rd,1462
TS018,-81.96282,37.54458,BEN CK just above Tug River @ last blue steel bridge,874
TS019,-81.40377,37.55252,BARKERS CK Rt 10 between Tralee Computer Elmp bridge,1487
TS020,-81.62295,37.55381,INDIAN CK Intersection left @ Nite Branch Rd,1322
TS021,-81.57192,37.57937,GUYANDOTTE RIVER Rt 97 east 2.0 miles past Glover 750' below Kepler Proces.,1231
TS022,-81.81488,37.5833,HUFF CK US Rt 52 2 miles before Mingo Co. 400' below drag strip,1082
TS023,-81.38081,37.6003,SLAB FK Rt 54 Left Hand turn before 1st bridge into Mullens,1525
TS024,-81.53341,37.58836,ROCK CASTLE CK  behind Dairy Queen in Pineville,1274
TS025,-81.31944,37.59665,DEVILS CK Rt 16 Amigo 2nd Alley on Devils CK Town,1635
TS026,-81.32003,37.60725,WINDING GULF left hand turn off after Byrd Privillamen School 0.3 miles US,1607
TS027,-81.30368,37.60777,TOMMY CK Under bridge on CR-33 off Rt 16,1629
TS028,-81.72373,37.61236,LAUREL CK 0.5 miles below 3rd bridge from Sun Hill,1293
TS029,-81.88242,37.61251,HORSEPEN CK just above Dentist Office & Used Car Lot cross bridge @ grey/red DW,891
TS030,-81.77017,37.64948,BIG CUB CK 350' below Sturgeon Bridge 1.2 miles below Coal Mt,1190
TS031,-82.12169,37.65101,BELOW GEORGE ALLEN BR behind Estepp house in N.Matewan,623
TS032,-81.53564,37.69416,LAUREL FK. Cr-1 Glenn Fk below Baptist Temple,
TS033,-81.61887,37.69549,CLEAR FK. Oceana  Hatcher across from Storage Buildings,1170
TS034,-82.185139,37.705167,PIGEON CK above Rockhouse fk in Delbarton beside funeral home,769
TS035,-82.17549,37.71147,ABOVE PIGEON CK in Delbarton by blue bridge,783
