TS230,FIELD pH,FIELD CONDUCTIVITY,TEMPERATURE,FIELD DISSOLVED OXYGEN,FLOW,LAB CONDUCTIVITY,SULFATE,DISSOLVED SOLIDS,SUSPENDED SOLIDS,LAB pH,ALKALINITY,HOT ACIDITY,MINERAL ACIDITY,IRON_D,MANGANESE_D,ALUMINUM_D,IRON_T,MANGANESE_T,ALUMINUM_T
2002-10-09,8.3,978,10.4,9.4,0.439,860,71,564,0,7.9,166,0,0,0,0,0.035,0,0,0.038
2002-11-21,8.3,472,6.9,7.5,27.02,478,113,272,3,8.06,92,0,0,0.07,0,0.037,0.08,0,0.126
2002-12-17,8.1,370.8,3.4,,51.8,429,76,216,7,8.32,120,0,0,0,0,0.031,0.14,0,0.213
2003-02-03,7.9,522,2.1,,,583,104,352,0,8.31,136,0,0,0,0,0,0.11,0.03,0.065
2003-02-26,7.5,348.0,0.8,,,385,62,220,5,8.46,146,0,0,0,0,0.024,0.19,0,0.346
2003-03-26,7.8,340.2,13.0,11.6,31.08,367,85,200,0,8.74,112,0,0,0,0,0.028,0,0,0.055
2003-04-22,8,385.2,13.5,,36,416,82,208,2,8.54,132,0,0,0.1,0,0.051,0.11,0.03,0.101
2003-05-20,8,361.8,16.2,,24,427,96,268,9,8.53,158,0,0,0,0,0.02,0,0,0.029
2003-06-18,8,398.9,18.7,,68.4,432,90,272,10,8.67,152,0,0,0,0,0,0.36,0.05,0.166
2003-07-09,8,490,23.5,,15,531,110,292,46,8.25,214,0,0,0.08,0,0.025,0.24,0.07,0.168
2003-08-20,8,444.9,27.6,,4,483,99,284,10,8.37,130,0,0,0,0,0,0.1,0,0.065
2003-09-17,8,470.7,21.7,,5,513,109,308,15,8.13,98,0,0,0,0,0,0.24,0,0.097
2003-10-08,8,477.3,15.1,10.8,6,518,106,268,2,8.23,150,0,0,0,0,0,0,0,0
2003-11-06,8.2,437.1,12.9,,34.1,464,69,276,11,7.94,168,0,0,0,0,0.116,0.17,0.03,0.368
2003-12-10,8,451.1,4.1,,39,416,79,228,18,8.06,216,0,0,0.14,0.03,0.152,0.42,0.03,0.45
2004-01-15,8.0,401.6,.8,,,388,59,276,9,7.64,134,0,0,0,0,0,0.1,0.03,0.061
2004-02-18,7.5,421.8,1.4,11.8,26.4,465,58,264,3,7.9,166,0,0,0,0,0,0.11,0,0.099
2004-03-17,8,401.5,3.9,,67,446,70,228,8,8.05,136,0,0,0,0,0.021,0.24,0.04,0.155
2004-04-13,7.8,293,7.6,,,338,63,220,360,7.26,116,0,0,4.66,0.29,2.3,8.58,0.54,4.3
2004-05-05,8.5,424.5,13.4,,19,503,72,256,0,8.05,182,0,0,0,0,0.023,0.09,0,0.066
2004-06-08,8.6,414.8,23.7,,16,452,81,248,3,7.79,176,0,0,0,0,0,0.09,0,0.065
2004-07-06,8.6,422.8,23.6,,12,468,73,272,5,8.54,198,0,0,0,0,0,0,0,0.051
2004-08-04,8,503,26.1,,13,507,18,304,8,8.53,164,0,0,0,0,0,0.12,0,0.159
2004-09-04,8.1,452.4,23.4,,16,456,63,332,6,8.15,188,0,0,0,0,0.028,0.14,0,0.19
2004-10-13,8.6,463.4,12.6,13.41,18,473,24,284,1,8.39,216,0,0,0,0,0,0,0,0
2004-11-13,8.7,402.7,7.3,,61,406,54,284,4,8.36,172,0,0,0,0,0,0,0,0.034
2004-12-14,8,384.7,3.6,,75,388,46,196,0,7.91,162,0,0,0,0,0.037,0,0,0.039
2005-01-13,7.3,267.7,11.4,,,263,26,184,52,7.32,88,0,0,0.22,0,0.065,0.29,0.07,0.193
2005-02-02,7.5,439.0,1.5,,,444,47,368,0,7.56,162,0,0,0,0,0.023,0,0,0.131
2005-03-02,8,455,3.3,,62,465,48,256,9,7.41,146,0,0,0,0,0.046,0.07,0,0.081
2005-04-13,8,348.1,16.4,15.54,32,341,44,208,1,8.11,138,0,0,0,0,0.061,0.06,0,0.081
2005-05-12,8.5,460.8,20.1,,31,469,51,272,7,8.53,182,0,0,0,0,0.034,0.17,0,0.176
2005-06-16,8.7,,20.3,,17,429,37,376,28,8.05,146,0,0,0,0.03,0.074,0.09,0,0.125
2005-07-19,7.5,503,27.5,,15,494,54,296,39,8.08,176,0,0,0,0,0.028,0,0,0.094
2005-08-30,8.4,474.3,22.1,,14,481,41,420,605,7.99,172,0,0,1.22,0.11,1.1,8.78,0.78,4.9
2005-10-18,8.4,751,18.1,11.9,0.652,754,28,672,12,8.11,232,0,0,0,0,0.024,0.15,0.04,0.162
2005-11-17,8.5,464,6.2,NaN,12,483,81,288,9,8.46,154,0,0,0.11,0.05,0.052,0.23,0.07,0.137
2006-01-10,8.4,422.1,7.2,NaN,32.9,426,61,244,4,8.05,136,0,0,0,0,0,0.13,0,0.042
2006-02-08,8.5,381.1,2.5,NaN,63.5,393,78,284,44,8.21,140,0,0,0.18,0,0,0.51,0.05,0.355
2006-03-16,8.0,346.6,8.5,9.98,115.8,339,75,264,6,7.57,142,0,0,0,0,0,0.4,0.07,0.28
2006-04-19,8.6,355.8,20.3,NaN,44,359,77,204,0,7.5,104,0,0,0,0,0.093,0.12,0.03,0.14
2006-05-16,8.2,435.2,12.4,NaN,60.7,451,77,272,5,8.04,148,0,0,0,0.04,0,0.28,0.07,0.064
2006-06-13,8.6,425.3,21.2,NaN,8.01,444,66,280,6,7.08,182,0,0,0,0,0,0.14,0.03,0.201
2006-07-13,8.1,402.5,23,NaN,27.2,437,51,240,79,6.99,100,0,0,0,0,0,1.14,0.24,0.329
2006-08-15,8.7,719,28.1,NaN,1.02,710,132,476,0,7.55,168,0,0,0,0,0,0.24,0.05,0.219
2006-09-12,7.6,352.4,21,8.12,0.58,374,118,360,2,8.49,148,0,0,0,0,0,0,0,0
2006-10-11,8,584,16.5,NaN,3.16,618,54,412,0,8.4,254,0,0,0,0,0,0.09,0,0.056
2006-12-28,8.5,413.5,5.4,NaN,28.8,455,81,264,8,8.28,140,0,0,0.06,0.05,0.027,0.25,0.05,0.182
2007-01-17,8,304.5,4.4,NaN,NaN,332,64,204,0,7.28,132,0,0,0,0,0,0.45,0.07,0.096
2007-04-04,9,389,12.7,11.6,54,400,84,268,0,8.12,96,0,0,0,0,0,0.14,0.04,0.058
