station_id,longitude,latitude,station_desc,ELEVATION
TS001,-81.6669,37.2751,DRY FK CR-9 off Rt 16; 400 ft above Andys Wrecker @ gas well,1287
TS002,-81.65,37.2898,JACOB FORK 400' upstream of Big Creek Branch,1356
TS003,-81.6511,37.2908,BIG CK Rt. 16 below CR-9 first long hollow on left,1977
TS004,-81.4784,37.3309,TUG FK/SOUTH FK/ 1.2 miles off 103 on 161 South; 200 ft upstream of golf corse,1552
TS005,-81.4773,37.3364,BIG SANDY RIVER/TUG FK 0.4 miles up 161 N from 103; right hand turn to metal bridge,1523
TS006,-81.8068,37.3439,MIDDLE FK CK 0.2 miles south of Bradshaw Rt 83 Metal Bridge,1338
TS007,-81.2464,37.3558,BLUESTONE RIVER R7 in above 1st one lane bridge 3rd house on right,2298
TS008,-81.2314,37.3778,WIDE MOUTH CK off Rt 71 on Browning School Rd 200 ft above green bridge,2276
TS009,-81.7846,37.4017,DRY FK Rt 80; 150 below Garwood Metal Bridge,1345
TS010,-81.4404,37.4201,ELKHORN CK off US52W @ Northfork City Limit @ RR Track,1583
TS012,-80.6503,38.3169,BEAVER CK 41 north CR-8,2264
TS013,-81.1354,37.5446,RICH CK RD in Spanishburg to Lusk Hollow Rd,2138
TS014,-81.7367,37.4503,CLEAR FK off US 52 @ crossing,1287
TS015,-81.8906,37.4639,PANTHER CK Downstream of Panther State Forest entrance on CR-3-3,1345
TS016,-81.5061,37.5524,PENNICALE CK 16 South up Pennicale CK Rd,1462
TS018,-81.9626,37.5446,BEN CK just above Tug River @ last blue steel bridge,874
TS019,-81.4021,37.5585,BARKERS CK Rt 10 between Tralee Computer Elmp bridge,1487
TS020,-81.6227,37.5539,INDIAN CK Intersection left @ Nite Branch Rd,1322
TS021,-81.5719,37.5793,GUYANDOTTE RIVER Rt 97 east 2.0 miles past Glover 750' below Kepler Proces.,1231
TS022,-81.8143,37.5841,HUFF CK US Rt 52 2 miles before Mingo Co. 400' below drag strip,1082
TS023,-81.3809,37.6003,SLAB FK Rt 54 Left Hand turn before 1st bridge into Mullens,1525
TS024,-81.5338,37.5883,ROCK CASTLE CK behind Dairy Queen in Pineville,1274
TS025,-81.3193,37.5968,DEVILS CK Rt 16 Amigo 2nd Alley on Devils CK Town,1635
TS026,-81.32,37.6073,WINDING GULF left hand turn off after Byrd Privillamen School 0.3 miles US,1607
TS027,-81.3133,37.603,TOMMY CK Under bridge on CR-33 off Rt 16,1629
TS028,-81.7235,37.6123,LAUREL CK 0.5 miles below 3rd bridge from Sun Hill,1293
TS029,-81.8821,37.6127,HORSEPEN CK just above Dentist Office & Used Car Lot cross bridge @ grey/red DW,891
TS030,-81.77,37.6494,BIG CUB CK 350' below Sturgeon Bridge 1.2 miles below Coal Mt,1190
TS031,-82.1523,37.6248,BELOW GEORGE ALLEN BR behind Estepp house in N.Matewan,623
TS032,-81.5358,37.6941,LAUREL FK. Cr-1 Glenn Fk below Baptist Temple,0
TS033,-81.6188,37.6955,CLEAR FK. Oceana; Hatcher across from Storage Buildings,1170
TS034,-82.1851,37.7052,PIGEON CK above Rockhouse fk in Delbarton beside funeral home,769
TS035,-82.1754,37.7113,ABOVE PIGEON CK in Delbarton by blue bridge,783
TS036,-81.7953,37.7293,HUFF CREEK 50yds below Gilman Bottom bridge,933
TS037,-81.2108,37.7388,PINEY CK CR-18 Cedar above water crossing (100'),1635
TS038,-82.0002,37.7539,OMAR Logan Co.,891
TS039,-81.1554,37.7564,BEAVER CK Intersection of Sullivan Rd & US 19 @ Glen Morgan US of RR Tressel,2145
TS040,-81.0527,37.7042,GLADE CK Pluto Rd @ bridge @ Beckley Water Co.,2700
TS041,-80.8668,37.7667,LAUREL CK CR-7 near Sandtone Murphy Farm,1521
TS042,-81.8313,37.7716,ACCOVILLE above right fk of Buffalo Ck.,840
TS043,-81.3722,37.7792,COAL RIVER/MARSH FK off Rt 99 on Posey-Saxon Rd @ propane tank,187
TS044,-82.2186,37.7754,ABOVE PIGEON CK on Day Star Rd @ 2nd ck crossing across rd from brown & tan trailer,660
TS045,-80.8002,37.6334,LICK CK I-64 exit 143 @ Green Sulphur Springs,1560
TS046,-82.2733,37.807,LAUREL FK below right fk above Lenore across rd from blue mobile home,627
TS047,-81.9344,37.8128,LOGAN near mouth of Rum Creek,736
TS048,-80.9168,37.8002,MEADOW CK CR-7 Exit 139 I-64,1510
TS049,-81.4146,37.8245,SANDLICK RD off Rt 3 to CR-3-9 Pine Branch Rd 1st bridge,1672
TS050,-81.9618,37.8372,DINGESS RUN 500yds above Tops,740
TS051,-81.0933,37.8462,PINEY CK Foot of Bat off Mt on 41N Sharp Curve Right turn 500' Upstream,778
TS052,-82.0191,37.8441,COPPERAS MINE FK above Mud Fk behind Rich gas station,756
TS053,-81.0452,37.8522,LAUREL CK in Fayette CO @ Quiniment Railroad Yard,1272
TS054,-82.0047,37.847,COPPERAS MINE FK near conf w/Guyandotte river behind Logan Auto Parts,721
TS055,-82.3827,37.8596,MARROWBONE CK downstream in curve across from sawmill,640
TS056,-81.5286,37.8783,COAL RIVER/MARSH FK abandon house beside football field @ Marsh Fk,888
TS057,-81.6714,37.8884,POND FK Rt 85 Barrett across from Metal bridge above school,899
TS058,-81.8296,37.9204,SPRUCE CK downstream above Monclo of Beech Fk,800
TS059,-81.2663,37.9204,PAINT CK CR-rtc 23 North of Pax @ Concrete Bridge,778
TS060,-80.6502,37.9168,METHODIST BR Hunter Rd 60/2 Near Crawley,2463
TS062,-81.1293,37.931,DUNLOUP CK in Harvey @ Franks Bait Shop,779
TS064,-81.8038,37.9447,SPRUCE CREEK downstream,813
TS065,-81.4262,37.9521,BIG COAL RIVER/CLEAR FK 9 miles up Clear Fk Rd @ Pentacostal Church,0
TS066,-82.3412,37.9578,TWELVE POLE CK west fork behind turkey creek church,785
TS069,-82.0388,37.9669,CRAWLEY CK below conf. Of Mill Fk. Justice,570
TS070,-81.8256,37.9707,HEWITT CK downstream above Jeffrey Post Office,821
TS071,-81.6969,37.9763,"WEST FK Gordan 0.2 miles above Whites Bridge @ ""the grill""",899
TS073,-82.0291,38.0068,BIG CREEK Downstream,574
TS075,-82.3051,38.0129,TWELVE POLE CK east fork below McComas Branch,584
TS076,-82.1284,38.0207,BIG HARTS CK behind Harts High Sch. Lower parking lot,672
TS078,-81.8276,38.0553,SPRUCE CK downstream @ Madison on Haddad Street,740
TS079,-81.8171,38.0548,POND FK 0.5 miles off Rt 85 across from Madison Pool,747
TS080,-80.3531,38.0498,SPRING CK 219 South CR-5 to CR 5-1 on left,1844
TS081,-81.0669,38.0502,WOLF CK @ Fayette Station below New River Gorge Bridge,0
TS082,-81.5703,38.0637,WHITE OAK CK Rt 3 orgas 500' up White Oak Ck Rd,801
TS083,-82.2948,38.1666,KIAH CK Threshold site just above East Lynn Lake,584
TS084,-81.6444,38.0696,COAL FK Laurel Rd from Prenter Rd 1st one lane bridge,779
TS085,-80.8835,38.0668,BRACKENS CK @ Ruselville Rt 41N,2193
TS086,-81.632,38.077,BIG COAL RIVER Prenter Rd 3.2 miles Double Wide Trailer,781
TS087,-82.1256,38.082,BIG UGLY near mouth of creek @ gas pump station,657
TS088,-81.2335,38.1,LOOP CK off Rt 61 above Robson,0
TS089,-81.8003,38.1001,LAUREL CK off Rt 16 Near Cotton Hill,0
TS090,-81.4467,38.1057,CABIN CK RD. Kanawha downstream Cabin Ck. above Coal Fk,781
TS091,-81.1002,38.1167,MILL CK @ Ansted,876
TS092,-82.5822,38.1159,MILL CK downstream off US 52 bridge near Fort Gay,567
TS093,-80.8834,38.1334,ANGLINS CK Rt. 41 N above Nollen @ Wilderness PSD,2193
TS094,-81.2835,38.1335,ARMSTRONG CK off Rt 61 on CR 61-24,620
TS095,-80.7184,38.1454,HOMINY CK 20 South CR-13 @ CR 13-6 Make right @ Bridge,2373
TS096,-81.4065,38.1577,PAINT CK downstream below Livington,712
TS097,-82.0414,38.1324,MUD RIVER cross upper bridge cross lake head waters @ turn left down gravel rd to ck,791
TS098,-81.8682,38.1654,BIG HORSE CK turn US @ rd just before low water bridge @ pumpstation,645
TS099,-80.6894,38.1705,BRUSHY MEADOW CK 20 South,1844
TS100,-82.0232,38.1556,LEFT FK MUD RIVER below Whittens Church @ wooden walk bridge above lake,813
TS101,-82.3902,38.1623,EAST LYNN lower water bridge,583
TS102,-81.2987,38.1864,SMITHERS CK downstream on Cannelton Rd,652
TS103,-80.4682,38.1914,CHERRY RIVER Johnson Rd to dirt Rd straighe ahead on left,1844
TS105,-82.5794,38.1925,HURRICANE CK Downstream US Rt.52,580
TS107,-82.4574,38.2024,BIG BRANCH crossing below town of Wayne,530
TS108,-81.4261,38.2219,KELLYS CREEK downstream,617
TS109,-81.6805,38.2262,WITCHER CK downstream,609
TS110,-80.5168,38.2168,CHERRY RIVER 39 east right outside of Richwood on Johnson Rd,2235
TS112,-81.5712,38.2327,LENS CREEK downstream,645
TS113,-81.1833,38.2334,GAULEY RIVER Twenty mile Ck above Gauley Bridge,0
TS114,-81.7709,38.2396,BRIER CK 119 south CR-15,678
TS116,-81.0167,38.2503,PETERS CK @ Drennen below junction of Rt 39 & Rt 129,0
TS117,-80.0717,38.2677,GAULEY RIVER /Panther Ck 39 west up Rd on Right,1844
TS118,-81.1334,38.2834,TWENTY MILE CK upstream site,0
TS120,-81.5679,37.4326,ELKHORN CK Upstream from Big Lots off US 52 @ RR Switch,1329
TS121,-81.5393,38.3127,CAMPBELLS CK downstream,630
TS122,-82.5333,38.2842,WHITES CK CR-19 Wayne Co. just above little White Church Carey farm,550
TS123,-80.2252,38.3326,WILLIAMS RIVER/Sugar Ck CR-46 off US 150 first one lane bridge,3125
TS124,-81.4334,38.4169,BLUE CK above Elkview on CR-57,767
TS125,-81.3502,38.3502,BLUE CK above Sanderson Kawawha Co. on CR-57,876
TS127,-80.4994,38.3835,WILLIAMS RIVER 20 north CR-46 take Rt to National Forest,2247
TS128,-80.5185,38.3568,GAULEY RIVER CR-46 Forest Rd 234,2231
TS129,-80.1265,38.415,ELK RIVER US 219 Slaty Fk @ Beckwith Lumer Co. Left Side,2563
TS130,-80.1261,38.4168,ELK RIVER/BIG SPRING FK US 219 Slaty Fk @ Beckwith Lumer Co.,2513
TS131,-80.3529,38.4246,GAULEY RIVER 20 South get on CR-42 Just above Turkey Ck,2878
TS132,-81.1668,38.4168,SYCAMORE CK trib of Elk River near Big Sycamore,877
TS133,-81.0836,38.4169,LEATHERWOOD CK near Hartland CR 16-3,578
TS134,-80.3754,38.3383,LITTLE FK off CR-46 to Little Camping Area,2397
TS135,-81.0667,38.4501,BUFFALO CK @ Clay trib of Elk River of CR-11,770
TS136,-80.9168,38.4336,BUFFALO CK office CR 15-4 dirt roak beside bridge .10 mile,0
TS137,-81.0336,38.4335,LILY FK BUFFALO @ Clay on old Surface Mine Rd,0
TS138,-81.3835,38.4502,FALLING ROCK CK CR-63 Reamer Rd cross bridge in Clendenin turn right,608
TS139,-80.2998,38.482,LEATHERWOOD CK 0.5 miles up CR 26-4 @ Bergoo,1801
TS140,-80.7168,38.4836,BIRCH RIVER CR-82 pass CR 1-9 on right,0
TS141,-80.2788,38.5014,ELK RIVER CR-26 from Rt 15 3.0 miles past Bergoo,2132
TS142,-80.5779,38.5281,LAUREL CK 20 south CR-9 to Erbacon Rt Rd just before RR tracks,2878
TS143,-80.3629,38.511,BLACK FK of Elk River CR-26 from Webster Springs foot bridge,2099
TS144,-80.8835,38.5501,STRANGE CK CR-40 by 3rd bridge,0
TS145,-80.4511,38.5597,GRASSY CK Rt 20 @ concrete bridge below Rt 20 & 15 Intersection,1357
TS146,-80.7668,38.5502,LITTLE BIRCH RD CR-38 to first bridge beside bridge,0
TS147,-80.4449,38.5634,HOLLY RIVER Rt Fk beside store @ Rt 20 & 15 Intersection,1334
TS148,-80.3095,38.5707,SUGAR CK CR-18 from Rt 20 CR 18-3 @ Skelt Near Powerlines,2152
TS149,-80.8668,38.5834,BIRCH RIVER on CR 40-8 near low water crossing,0
TS150,-80.381,38.6526,LEFT FK HOLLY RIVER Rt 20 above Hacker Valley CR-3 @ State Road Garage,1504
TS151,-80.5428,38.6714,HOLLY RIVER 15 east to Holly on Gerald R Freeman Campground,988
TS152,-80.4513,38.7441,RIGHT FK OF LITTLE KANAWHA CR 50-6 from Rt 20 3.1 miles upstream from last house in wildcat,1029
TS153,-80.2362,38.7438,BUCHANNON RIVER RT FK CR 11-17 to CR-44 metal bridge to church,2088
TS154,-80.2352,38.7473,LF FK RT FK BUCHANNON CR-11-17 to CR 11-20 0.9 miles on right,1973
TS155,-80.3796,38.7702,LITTLE KANAWHA River off 20 north on County Rt 46,870
TS156,-80.2172,38.7808,LF FK BUCHANNON CR-11 from French Ck to Alexander old RR yard,1983
TS157,-80.0306,38.7919,MIDDLE FK RIVER CR-46 from Mill Ck to CR-34 1.6 miles from turn off,2124
TS158,-80.6681,38.8124,SALTLICK CK CR-5 below Burns Run Rd,791
TS159,-80.5162,38.8173,KNAWLES CK @ Burnsville Lake in WMA,874
TS160,-80.0351,38.8264,MIDDLE FK RIVER CR-46 from Mill Ck to CR-34 to Cassity after bridge,1996
TS161,-80.5527,38.7729,LITTLE KANAWHA River below Burnsville Dam,791
TS163,-80.6489,38.8639,FRENCH CREEK near Gould WV,1400
TS162,-80.1137,38.8963,OIL CK @ Burnsville on CR-1,791
TS164,-80.4579,38.8688,MIDDLE FK RT FK Co. line on 151 CR-28 to White House about 2 miles,1898
TS165,-80.6825,38.9254,WEST FK RIVER 19 North get off on CR-44 @ bridge,870
TS166,-79.9526,38.9339,INDIAN CK CR-13 in Gilmer Co.,765
TS167,-80.6722,38.9493,ROARING CK US 33 to Norton on Rt 151 CR 5-5 across new bridge 450' US,1916
TS168,-80.2303,38.9682,SANDY FK CR-11 towards Dolan beside bridge @ pull off,0
TS169,-79.8367,38.9846,BUCKHANNON RIVER Upsher Co. Rt 20 to Tennerton turn to CR-9 @ school-metal bridge,1437
TS170,-80.3839,38.918,LEADING CK Old US 219 below Whyte @ Mountian State Memorial Gardens,1920
TS171,-80.4121,39.0151,SKIN CREEK CR-30 Stonewall,1109
TS172,-80.1318,39.0188,GLADYS FK RD Below Gaston Rt. 33/119,1071
TS173,-80.4717,39.0939,SAND RUN US 33 from Buchannon to CR-3;CR-8 left hand turn @ concrete bridge,1435
TS174,-80.4668,38.0835,WEST FK RD CR-12 towards Jackson Mill @ USGS site,0
TS175,-80.3931,39.1032,FREEMANS CK CR-12 across from Jackson Mill 4th Camp,0
TS176,-79.5199,39.1185,ELK CK Beside I-79 Near Jan Lew,998
TS177,-79.4004,39.134,NORTH FK BLACK WATER River @ Douglas on CR-27,2797
TS178,-79.438,39.1492,BLACKWATER RIVER Davis on Delta Road 1,3220
TS179,-80.4582,39.1391,BEAVER CK off Rt 93,3208
TS180,-79.96,39.1438,KINCHELO CREEK Hollick Run Rd Near Jane Lew,1011
TS181,-80.2624,39.1661,LAUREL CK/SUGAR CK CR 92-12;CR 5-8 @ concrete bridge,1409
TS182,-80.2636,39.1761,GNATTY CK Romines Mills CR-20 from Lost Ck,1068
TS183,-80.3968,39.1902,ELK CK @ bridge on Rt 20 & Rt 57 Intersection,1070
TS184,-79.5917,39.1872,LOST CK between West Milford & Lost Ck Rt 270,989
TS185,-79.9148,39.1912,HORSESHOE RUN below Lead Mine on CR-9,1749
TS186,-80.2995,39.2387,TETER CK Rt 92 1.1 mile north of Nestorville,1394
TS187,-79.2614,39.2703,BRUSHY FK above Stonewood; right hand road above town,1032
TS188,-80.2039,38.2785,STONEY RIVER above Mt. Storm Rt 50 West,2570
TS189,-79.6257,39.2843,BEARDS RUN Rt 77/4 cross rr tracks turn left field above trailers,1068
TS190,-80.4857,39.301,LITTLE WOLF CK St. George Rd CR-110 off Rt 50 E,1509
TS191,-79.8794,39.2947,TEN MILE RD CR 5-9 Salem Fk Rd,0
TS192,-79.888,39.3014,SANDY CK off St Rt 92 on old 92-13 CR gravel Rd 3/4 mile to site,0
TS193,-79.6886,39.3179,LITTLE SANDY CK off old 92-16 on gravel Rd to pasture,0
TS194,-79.9903,39.3372,BUFFALO CK Macomber @ intersection of Rt 72 & Rt 50,1448
TS195,-79.659,39.3546,THREE FK CK Beside CSX yard USGS stream station on curve in bridge,1026
TS196,-80.3847,39.3594,SALT LICK CK Rowlesburg on CR-51 Salt Lick Rd,1524
TS197,-80.3434,39.3755,LITTLE TEN MILE CK CR-9 @ intersection bridge to Rt 20,0
TS199,-79.8955,39.3904,TEN MILE CK CR-8 to water street behind ball field,0
TS200,-80.2103,39.419,RACOON CK CR-7 to dirt rd in curve to train bridge,1115
TS201,-79.511,39.433,BOOTHS CK @ Eldona from Nog Lick Run,1053
TS202,-80.2941,39.4285,SNOWY CK Corinth off Russ Deberry Rd CR-98,0
TS203,-79.8409,39.4415,LONG RUN CR-8 uphill past Feather Hill Rd 1st wide spot on left,973
TS204,-80.1666,39.506,THREE FORK CK CR-35 from 33 on dirt road over hill,0
TS205,-80.0995,39.5097,BUFFALO CK CR off 250-31 @ bridge,0
TS206,-79.6419,39.518,PRICKETT CK 1.4 miles to 1st bridge towards Prickett State Park,0
TS207,-80.363,39.528,MUDDY CK Beech Run Rd Teters Campground,1429
TS208,-80.3431,39.5369,BUFFALO CK off CR-1 Near Train Crossing,0
TS209,-80.1448,39.5433,PYLES FK US 250 N @ Mannington on Pyles Rd,0
TS210,-80.0463,39.5532,PAW PAW CK CR-17 across from Baxter Ball Park,0
TS211,-80.079,39.5678,WHITEDAY CK @ Opekiska,920
